id,limit,n_cc,inc0,w0,c0,safety_score,deg,female,age,deb0,del
80,2.8125,2,9.9270277,54.747051,10.186575,.025246879,4,0,43,0,0
81,14.0625,3,13.181385,152.62012,14.757327,-.099436641,4,0,49,0,0
82,15.216641,3,7.6999998,141.56036,8.9060993,-.1055066,4,0,29,0,0
83,14.0625,3,11.885747,415.75397,12.595239,.92465132,5,0,27,0,0
84,2.34375,2,12.392532,75.013351,12.972726,-1.9645392,3,0,54,1.967314,0
85,9.2218122,3,12.6,83.249985,13.09266,.45699054,3,0,47,0,0
86,1.4147,2,5.2905121,31.331612,9.7365885,1.3422664,3,0,41,.33455259,0
87,8.1532927,3,16,49.626076,10.495214,-.49470624,2,0,47,0,0
88,33.611977,3,6.1710839,298.97867,18.483479,-2.8063152,3,1,22,.18610658,0
89,9.7784185,3,6,178.61143,6.403698,.86219144,4,0,22,0,0
90,8.4375,3,10.028605,20.160233,9.2621822,-.51873165,1,0,38,2.2737534,0
91,6.7671571,3,5.0854511,280.21246,12.412883,-.10360015,3,0,28,2.4001663,0
92,5.9970117,3,4.5999999,72.979607,9.6397028,-.63020808,4,0,24,0,0
93,12.5,2,6.424087,17.876001,8.3635006,.7796095,3,1,26,2.2848818,0
94,1.875,2,5.8831787,14.188568,6.9654226,.24511623,1,0,29,0,0
95,46.103733,3,25,105.48454,12.196423,-1.6977321,3,1,56,0,0
96,4.4156766,2,13.304153,60.897366,4.9554224,.6117515,1,1,36,3.7130072,0
97,9.375,2,6.809124,.35291767,10.891356,-.7923004,4,0,34,3.503,0
98,3.28125,3,9.396203,67.64167,6.6347065,1.0182561,3,0,36,1.9319021,0
99,3.59375,2,5.0261478,56.768425,6.0120282,.24777596,2,0,21,0,0
100,37.5,3,16.11005,168.6389,14.917269,-.41454172,5,1,41,1.0373598,0
101,17.8125,3,8.7001896,143.78563,10.739178,-3.4803882,3,1,26,1.7350669,0
102,4.21875,2,11.930787,11.570395,15.482178,.65760285,3,1,38,.93577611,0
103,.98503691,1,2.9710805,73.028351,7.3045187,.70332283,2,0,28,2.4081209,0
104,28.201378,2,19.664188,4.5823135,12.449206,.31581303,3,1,47,1.496273,0
105,11.6875,3,9.9578075,35.843853,9.3303747,-.22456297,4,0,38,.77720636,0
106,.9375,3,6.3784852,34.581547,7.0450134,.45473722,1,0,28,0,0
107,5.614953,3,6,25.925547,5.3130336,-.66887432,3,1,26,0,0
108,11.21875,2,15.046516,27.454447,9.1249552,-.70350915,3,1,52,0,0
109,11.09375,3,16.616302,246.411,21.143272,.71110636,2,1,57,0,0
110,3.75,1,3.7141106,7.9417496,7.5823841,.69854748,2,0,23,3.564739,0
111,12.0625,3,12.221689,27.984802,12.82308,-.36432174,3,1,46,1.7676861,0
112,3.28125,3,5.6768217,89.664055,8.6554375,.25087184,2,0,24,0,0
113,2.5915432,3,8,48.523678,8.6273775,-1.2690192,1,0,34,0,0
114,10.19908,3,19.74,168.65912,11.741716,.41259894,4,1,32,0,0
115,12.96875,3,10.835175,321.07837,28.939367,.53032702,4,1,26,0,0
116,14.0625,3,13.268534,135.28551,11.127378,.89388931,2,0,56,.96073252,0
117,6.875,2,9.8120556,3.4622123,10.102321,.067195721,1,1,44,2.6009393,0
119,39.317249,3,24.15,213.30093,10.104352,.45303443,3,1,42,0,0
120,11.579353,3,16.1,188.64697,22.195297,-3.4803882,4,0,52,0,0
121,2.890625,3,12.800884,51.400013,10.38413,.054760177,1,0,42,0,0
122,4.6875,3,9.2177114,21.102913,12.261872,1.1484449,4,0,43,0,0
123,3.59375,3,4.3246217,21.275274,7.6312776,.60147268,3,0,22,0,0
124,11.71875,3,6.2997818,30.30344,6.8645229,1.3780432,1,0,28,0,0
125,1.875,3,14.912964,356.32651,12.614061,.9613319,1,1,34,1.4557623,0
126,5.15625,3,12.370673,86.649971,12.508108,.35482121,1,0,47,0,0
127,.8125,3,16.474241,322.19183,15.92511,.038884781,5,0,46,0,0
128,12.206117,3,4.3754172,110.80872,9.3370247,.27835068,4,1,42,2.2080114,0
130,8.90625,2,9.3468571,51.812641,9.4628191,.11023167,4,0,44,0,0
131,5.96875,2,12.083755,55.025848,9.4224491,-.46726793,3,1,44,0,0
132,8.4375,3,19.369822,426.43311,16.667015,.78416181,4,0,42,0,0
133,31.017944,3,5.0936899,292.44595,13.714625,.2398134,4,1,38,1.1446214,0
134,5.125,2,5.1410313,42.821892,7.7305522,-1.3649935,5,0,24,.94007522,0
135,4.0625,3,12.364861,37.071426,12.12249,.57865578,4,1,49,0,0
136,14.631402,3,3.7175584,135.73761,8.9152937,-.73539943,1,0,22,2.3753638,0
137,43.522625,3,14.555587,481.03024,31.155828,.41418016,3,1,24,.19932908,0
138,7.375,3,10.357612,75.625839,14.126574,-3.4803882,1,0,43,.63388801,0
139,2.0503547,3,28,101.65961,24.005579,-.040100656,3,0,32,0,0
140,16.875,3,6.3071003,100.97701,9.8525419,.42302987,4,1,27,1.9186471,0
141,12.902394,3,5.25,211.54604,13.669016,-.8916167,1,1,58,0,0
142,2.3982174,3,3.885,21.431517,6.7148333,.76482433,4,1,28,0,0
143,4.53125,3,10.480307,115.8256,14.021689,-.016366301,4,1,36,0,0
144,22.96875,3,12.914301,27.913784,11.298386,.24568136,5,0,51,1.2363791,0
145,3.75,3,17.03562,367.61868,17.830976,1.4882684,4,1,37,2.5077982,0
146,4.8805838,3,9.3999996,42.598167,17.430115,.13362759,1,0,46,0,0
147,15.911005,3,4.8861942,85.743988,11.10815,.578269,4,0,23,1.3343894,0
148,15.671559,3,11.3,466.31366,16.541718,.6258738,5,0,44,0,0
149,2.1875,2,5.425921,68.246834,6.7237215,.37147844,1,1,23,0,0
150,27.203678,3,3,92.447289,10.142944,-.24673516,2,1,23,0,0
